Subject,Day,Year,time,url_slug
Release:  Drug Unit Investigation/CEW Deployment - 400 Block 3rd Ave. N & 100 Block Keevil Cr.,May 26,2021,3:13 PM,/news/2021287
Release:  Early Morning Collisions,June 25,2018,9:10 AM,/news/2018483
Release:  Eleven Tickets Issued Following Investigation Into Last Weekend's Rally,April 28,2021,2:04 PM,/news/2021229
Release:  Emergency Alert Notice,September 5,2021,9:02 PM,/news/2021478
Release:  Erratic Driving/Sanding Truck,November 4,2019,1:13 PM,/news/2019814
Release:  Escape Lawful Custody - Public Safety Notice,November 13,2019,9:31 PM,/news/2019850
Release:  Evade Police - 100 Block 33rd Street West,October 5,2020,2:40 PM,/news/2020721
Release:  Evade Police - 1800 Block Ave. F N,December 10,2020,2:23 PM,/news/2020867
Release:  Evade Police - 20th Street And Avenue P North,December 11,2019,10:20 AM,/news/2019931
Release:  Evade Police - 22nd St. W & Ave. I,December 13,2017,2:02 PM,/news/20171011
Release:  Evade Police - 3 Arrested - Air Support Unit Assist,May 31,2020,2:11 AM,/news/2020361
Release:  Evade Police - 300 Block Avenue S South/Hwy 12 And Township Rd 404,April 30,2020,10:04 AM,/news/2020289
Release:  Evade Police - Air Support Unit Assist - Suspect In Custody,November 6,2020,11:23 PM,/news/2020806
Release:  Evade Police - Ave. D N & 31st St. W,May 22,2018,5:02 PM,/news/2018376
Release:  Evade Police - Canada-Wide Warrant Executed,June 21,2021,4:35 PM,/news/2021349
Release:  Evade Police - Confederation Dr. & 22nd St. W,June 20,2018,10:37 AM,/news/2018465
Release:  Evade Police - Hart Rd & Bowlt Cr.,August 30,2020,3:59 PM,/news/2020609
Release:  Evade Police - Highlands Cr. & Acadia Dr.,October 31,2018,2:45 PM,/news/2018796
Release:  Evade Police - Idylwyld Drive And 25th Street,April 21,2018,11:40 PM,/news/2018273
Release:  Evade Police - K9/ASU/Patrol Arrest - 1300 Block Ave. H N,May 6,2021,10:04 AM,/news/2021250
Release:  Evade Police - Lorne Ave. & Taylor St.,February 27,2018,10:27 AM,/news/2018119
Release:  Evade Police - One Arrest,October 29,2018,11:32 AM,/news/2018788
Release:  Evade Police - One In Custody,October 12,2020,3:14 AM,/news/2020739
Release:  Evade Police - PSD Injured,February 3,2021,3:38 PM,/news/202175
Release:  Evade Police - Suspect In Custody,November 10,2019,1:18 PM,/news/2019838
Release:  Evade Police - Weapons/Stolen Property - 31st Street And Avenue I North,August 17,2020,9:27 AM,/news/2020560
Release:  Evade Police Incident,March 26,2018,4:15 AM,/news/2018187
Release:  Evade Police With Arrest,June 19,2018,11:51 AM,/news/2018464
Release:  Evade Police- 2 In Custody,July 18,2020,11:20 AM,/news/2020498
Release:  Evade Police/Arrest - 100 Block Ave. C S,May 26,2020,11:16 AM,/news/2020349
Release:  Evade Police/Arrest - 46th St. E & Northridge Dr.,September 3,2019,2:38 PM,/news/2019627
Release:  Evade Police/Arrest - Circle Dr. & College Dr.,August 14,2019,3:00 PM,/news/2019572
Release:  Evade Police/Arrest - Idylwyld Dr. N & 39th St.,April 18,2018,1:11 PM,/news/2018264
Release:  Evade Police/Arrest - K9 & ASU Assist,April 3,2018,11:55 AM,/news/2018206
Release:  Evade Police/Arrest - Ottawa Ave. S,April 4,2018,4:23 PM,/news/2018213
Release:  Evade Police/Arrests - 10 Block Assiniboine Dr.,April 23,2018,4:07 PM,/news/2018280
Release:  Evade Police/Arrests - 25th St. E & 3rd Ave. N,July 18,2018,11:48 AM,/news/2018547
Release:  Evade Police/Arrests - 900 Block Ave. U N,August 9,2019,12:35 PM,/news/2019557
Release:  Evade Police/Arrests - Ave. D N & 33rd St. W,October 30,2018,11:40 AM,/news/2018790
Release:  Evade Police/Arrests - Spadina Cr. W & Ave. G S,August 28,2018,4:23 PM,/news/2018657
Release:  Evade Police/Arrests â€“ Highway 5 East & Highway 16 N,November 15,2018,10:35 AM,/news/2018832
Release:  Evade Police/ASU Assist - 1200 Block Central Ave,January 19,2018,3:15 PM,/news/201834
Release:  Evade Police/ASU Assist - Ave W & 22nd St,April 24,2018,10:35 AM,/news/2018282
Release:  Evade Police/ASU/Canine - 4  In Custody,September 12,2021,4:47 AM,/news/2021499
Release:  Evade Police/B&E/Unlawful Confinement - 700 Block 33rd St. W,March 26,2019,11:09 AM,/news/2019224
Release:  Evade Police/Cocaine Trafficking Charges - 10 Block Assiniboine Dr.,April 7,2021,9:04 AM,/news/2021181
Release:  Evade Police/Dangerous Driving - 3700 Block Idylwyld Dr. N,December 9,2019,4:03 PM,/news/2019921
Release:  Evade Police/Dangerous Driving - Avenue U North,December 10,2018,11:32 AM,/news/2018881
Release:  Evade Police/Drug Trafficking - Preston Ave. S & Willis Cr.,December 12,2018,12:00 PM,/news/2018889
Release:  Evade Police/Firearm - 200 Block 3rd Ave. N,July 17,2018,12:01 PM,/news/2018545
Release:  Evade Police/Firearm - 700 Block Circle Dr.,August 20,2019,9:09 AM,/news/2019589
Release:  Evade Police/Firearm - Herold Road/Stillwater Drive,August 19,2021,3:40 PM,/news/2021442
Release:  Evade Police/Impaired Driving - Highway 16 And Circle Drive,September 24,2018,10:16 AM,/news/2018715
Release:  Evade Police/Injured Person - 400 Block Ave. H S,April 12,2018,3:42 PM,/news/2018243
Release:  Evade Police/Meth - Witney Ave. S & 21st St. W,January 28,2019,3:46 PM,/news/201956
Release:  Evade Police/Methamphetamine Trafficking - 22nd Street And Circle Drive,September 3,2021,9:46 AM,/news/2021471
Release:  Evade Police/Minor Injuries - 1600 Block Idylwyld Dr. N,November 6,2018,5:35 PM,/news/2018809
Release:  Evade Police/Possession Of Methamphetamine - Preston Ave. And 7th Street East,April 23,2021,10:07 AM,/news/2021219
Release:  Evade Police/RCMP - R.R. 3070 & 364,June 10,2019,3:46 PM,/news/2019409
Release:  Evade Police/Stolen Vehicle - 19th St. W & Ave. R S,May 19,2020,11:13 AM,/news/2020335
Release:  Evade Police/Stolen Vehicle - 800 Block Wollaston Cr.,April 23,2018,4:43 PM,/news/2018281
Release:  Evade Police/Weapon - 100 Block St. Lawrence Ct.,September 9,2019,11:51 AM,/news/2019639
Release:  Evade Police/Weapon - 300 Block Ave. U S,November 18,2020,8:56 AM,/news/2020827
Release:  Evade Police/Weapons - 800 Block Northumberland Ave.,May 26,2021,9:22 AM,/news/2021285
Release:  Evade Police/Weapons - Dudley St. & Ave. P S,June 17,2020,10:24 AM,/news/2020404
Release:  Evade Police/Weapons & Drugs - 300 Block Haviland Cr.,August 12,2020,9:55 AM,/news/2020551
Release:  Evade Police/Weapons Charges â€“ 20th St. & Idylwyld Dr.,December 12,2017,3:39 PM,/news/20171008
Release:  Evade/B&E/Weapon - 300 Block Kingsmere Blvd.,December 9,2020,8:57 AM,/news/2020858
Release:  Evade/Drug Trafficking - 1800 Block 1st Ave. N,May 11,2020,2:37 PM,/news/2020312
Release:  Evade/Firearms/Drugs - 500 Block Ave. T N,November 5,2020,10:28 AM,/news/2020795
Release:  Evade/K9 Arrest - 200 Block J.J. Thiessen Cr.,December 3,2020,2:33 PM,/news/2020850
Release:  Evade/Stolen Property/Firearms - Ave. X N & 23rd St. W,August 21,2019,12:14 PM,/news/2019598
Release:  Evade/Weapon - Highway 12 & Township Rd. 394,January 6,2021,10:38 AM,/news/202111
Release:  Evade/Weapon/Drugs - 200 Block Fairmont Dr.,October 7,2020,10:52 AM,/news/2020726
Release:  Evidence Photo - Crystal Methamphetamine Trafficking - Five Arrested,May 27,2019,3:23 PM,/news/2019361
Release:  Expansion Of The Vulnerable Persons Registry,June 22,2018,9:58 AM,/news/2018470
Release:  EXXPLORE Emergency Services -  Registration Opens April 10th,April 9,2018,1:46 PM,/news/2018228
"Release:  EXXPLORE Emergency Services - May 12, 2018",May 11,2018,12:19 PM,/news/2018347
"Release:  EXXPLORE Emergency Services - May 4, 2019",April 3,2019,9:13 AM,/news/2019238
Release:  Fail To Stop For Police - 300 Av G S,August 1,2019,3:31 AM,/news/2019532
Release:  Fatal House Fire - 200 Block Of Ave N South,February 2,2021,10:39 PM,/news/202172
Release:  Fatal House Fire - 400 Block Ave. T S,April 7,2021,4:04 PM,/news/2021185
Release:  Fire - 1200 Av M S,March 30,2021,11:28 PM,/news/2021176
Release:  Fire - Traffic Restrictions,September 10,2021,10:51 PM,/news/2021494
Release:  Fire - Traffic Restrictions,September 11,2021,7:58 AM,/news/2021495
Release:  Fire - Traffic Restrictions - 200 Block Lochrie Crescent,April 25,2018,1:07 PM,/news/2018284
Release:  Firearm Charges,September 9,2019,10:38 PM,/news/2019642
Release:  Firearm Charges - 3700 Block Diefenbaker Dr.,November 12,2019,4:45 PM,/news/2019844
Release:  Firearm Charges Laid - 200 Block Of Ave S South,April 27,2018,10:30 AM,/news/2018290
Release:  Firearm Charges/B&E - 100 Block Ave. X S,February 28,2018,11:02 AM,/news/2018124
Release:  Firearm Discharge,June 1,2019,1:56 PM,/news/2019375
Release:  Firearm Discharged - 200 Block Avenue G South,December 14,2020,10:28 AM,/news/2020870
Release:  Firearm Discharged - 900 Block 15th Street East,November 16,2020,4:07 PM,/news/2020825
Release:  Firearm Discharged - Ave W And Bedford Road,April 12,2021,12:13 PM,/news/2021194
Release:  Firearm Discharged At Residence - 1000 Block 23rd Street West,August 19,2019,1:13 PM,/news/2019588
Release:  Firearm Discharged During Robbery - 21st Street And Avenue T,December 4,2019,4:09 AM,/news/2019901
Release:  Firearm Discharged/ Ongoing Investigation,September 15,2020,5:14 PM,/news/2020661
Release:  Firearm Investigation - 100 Block 33 St W,March 20,2020,12:59 AM,/news/2020182
Release:  Firearm Investigation - 100 Block Avenue I North,April 23,2020,1:57 PM,/news/2020263
Release:  Firearm Investigation - 1300 Av F North,February 20,2019,8:23 PM,/news/2019129
Release:  Firearm Investigation - 1300 Av F North,February 20,2019,9:25 PM,/news/2019131
Release:  Firearm Investigation - 300 Block Avenue I North,January 27,2020,10:52 AM,/news/202053
Release:  Firearm Investigation - 3300 Block Of Fairlight Dr,October 19,2019,4:03 AM,/news/2019751
Release:  Firearm Located And Seized - 300 Block Keevil Cr.,November 5,2019,10:37 AM,/news/2019815
"Release:  Firearm Pointed At Member Of The Public, Charges Laid-200 Block Avenue M North",October 1,2019,4:14 AM,/news/2019697
Release:  Firearm Seized - 700 Block 5th Avenue North,August 6,2021,10:14 AM,/news/2021417
Release:  Firearm Seized â€“ 800 Block 33rd St. W,March 2,2018,9:10 AM,/news/2018131
Release:  Firearm/Arrests - 100 Block 109th St. W,August 22,2018,10:15 AM,/news/2018640
Release:  Firearm/Assault - 2400 Block 22nd St. W,April 28,2021,2:52 PM,/news/2021230
Release:  Firearm/Bear Spray - 200 Block Ave. S S,June 24,2020,5:04 PM,/news/2020427
Release:  Firearm/Shot Fired - 800 Block 33rd Street West,February 3,2020,11:26 AM,/news/202069
Release:  Firearm/Uttering Threats - 200 Block Ave. P S,March 17,2021,9:00 AM,/news/2021150
Release:  Firearm/Weapon Charges Laid - 700 Block Of Weldon Ave,April 27,2018,10:06 AM,/news/2018289
Release:  Firearms & Drug Charges Laid - 1300 Block Ave F North,June 15,2018,2:04 PM,/news/2018458
Release:  Firearms And Drug Trafficking Charges - 100 Block Avenue O South,August 30,2018,11:13 AM,/news/2018661
Release:  Firearms Charges - 20th St. E & 3rd Ave. S,August 7,2018,11:23 AM,/news/2018601
Release:  Firearms Charges - 3800 Block Diefenbaker Dr.,April 7,2021,3:18 PM,/news/2021183
Release:  Firearms Incident/School Perimeter Lockdown - 300 Block Ave. N S,June 3,2021,3:01 PM,/news/2021303
Release:  Firearms Investigation,January 12,2021,1:40 AM,/news/202124
Release:  Firearms Investigation - 400 Blk Ave. S South,February 14,2019,8:09 PM,/news/2019115
Release:  Firearms Offences - 1900 Block McKercher Drive,July 14,2020,11:16 PM,/news/2020490
Release:  Firearms/Cocaine - 800 Block 22nd St.W,October 13,2020,4:39 PM,/news/2020743
Release:  Firearms/Drugs Seized - Investigation Into Methamphetamine Trafficking - 400 Block Avenue P South,February 10,2020,12:14 PM,/news/202087
Release:  Five Arrested - ASU Assists With Two Stolen Vehicles,August 6,2019,11:17 AM,/news/2019546
Release:  Five Arrested - Stolen Vehicle/Firearms,July 29,2019,10:00 AM,/news/2019520
Release:  Five Arrested For Cocaine Trafficking/ 600 Block Fast Crescent,October 22,2020,2:53 PM,/news/2020765
Release:  Five Arrested In SIDEST Investigation - 2200 Block St. Patrick Avenue,November 5,2018,1:21 PM,/news/2018804
Release:  Foot Chase/Assault On Officers - 100 Block Wiggins Rd.,May 30,2019,10:52 AM,/news/2019369
Release:  Forcible Confinement/Aggravated Assault - 300 Block Ave. R S,May 19,2020,11:32 AM,/news/2020336
Release:  Forcible Confinement/Sexual Assault - 100 Block Wellman Cr.,June 5,2019,2:21 PM,/news/2019389
Release:  Found Child - 100 Block Primrose Dr.,June 2,2020,7:24 AM,/news/2020367
Release:  Four Arrests - Two Compound Break And Enters - Gyles Place/58th Street East,January 14,2019,1:59 PM,/news/201923
Release:  Four Males Charged In Saskatoon's Latest Homicide For 2019,September 22,2019,12:18 AM,/news/2019675
Release:  Fraud Advisory - Counterfeit American $50 Bills,April 11,2019,1:05 PM,/news/2019262
Release:  Fraud Advisory - CRA/Gift Card Scam,February 22,2018,10:36 AM,/news/2018111
Release:  Fraud Awareness And Prevention,March 26,2020,6:57 AM,/news/2020204
Release:  Fraud Awareness And Prevention,October 28,2020,10:01 AM,/news/2020775
Release:  Fraud Awareness And Prevention - April,April 2,2020,9:04 AM,/news/2020217
Release:  Fraud Awareness And Prevention - July 2020,June 30,2020,2:36 PM,/news/2020448
Release:  Fraud Awareness And Prevention - June,June 1,2020,10:13 AM,/news/2020364
Release:  Fraud Awareness And Prevention - May,May 1,2020,3:00 PM,/news/2020293
Release:  Fraud Awareness And Prevention - October,October 5,2020,2:29 PM,/news/2020720
Release:  Fraud Awareness And Prevention - Rental Scams,November 25,2020,2:35 PM,/news/2020834
Release:  Fraud Awareness And Prevention - September,September 1,2020,6:28 AM,/news/2020613
Release:  Fraud Prevention Month,March 2,2020,8:26 AM,/news/2020131
Release:  Fraud Prevention Month,March 2,2021,3:06 PM,/news/2021123
Release:  Fraud Prevention Month Continues With Announcement Of New Program To Support Elderly Victims Of Fraud #FPM2020,March 5,2020,8:11 AM,/news/2020145
Release:  Fraud/Theft Charges - Economic Crime Unit Investigation,June 30,2021,4:06 PM,/news/2021364
Release:  Fraudulent Activity Ramps Up During COVID-19 #FPM2020,March 19,2020,11:01 AM,/news/2020179
Release:  Fraudulent Canvassing Activity,December 19,2019,4:06 PM,/news/2019958
Release:  Fuel Leak - Faithfull Ave And 60th St E,May 5,2018,3:00 PM,/news/2018327
Release:  Further Update - Traffic Collision With Injuries - Hanselman Ave And 45th Street,November 6,2020,12:46 PM,/news/2020803
Release:  Garage Fire - 100 Block Av R S,August 23,2020,3:33 PM,/news/2020585
Release:  Garage Fire - 200 Block Av L S,May 30,2020,1:49 AM,/news/2020358
Release:  Garage Fire - 2400 Block Of Woodward Av,December 7,2019,1:23 AM,/news/2019913
Release:  Gas Leak - Update,December 12,2017,12:54 PM,/news/20171007
Release:  Good Samaratin Assists In Arrest - Attridge At Kenderdine,March 23,2018,9:57 PM,/news/2018184
Release:  Graffiti Arrest Leads To Weapon Charges And CEW Deployment,August 8,2020,3:29 PM,/news/2020548
Release:  Grass Fire Clarence Avenue S & Circle Drive E,June 22,2018,3:03 PM,/news/2018474
Release:  Guns & Gangs Firearms Investigation - 1700 Block 2nd Ave. N,January 20,2021,3:27 PM,/news/202144
Release:  Guns & Gangs Investigation - 25th St. E & 2nd Ave. N,February 17,2021,3:11 PM,/news/2021100
Release:  Guns & Gangs Investigation - 300 Block Ave. R S,April 16,2021,2:16 PM,/news/2021198
"Release:  Guns & Gangs Investigation/Drug Trafficking/Evade - Osler/Neuanlage, SK",May 17,2021,2:52 PM,/news/2021273
"Release:  Guns & Gangs Investigation/Evade/Drugs/Firearms - Vanscoy, SK",May 12,2021,9:45 AM,/news/2021259
Release:  Guns & Gangs Investigation/Meth Trafficking - 200 Block Pinehouse Pl.,January 28,2019,11:55 AM,/news/201954
Release:  Guns & Gangs Investigation/Weapons - 300 Block Ave. M N,February 20,2020,8:57 AM,/news/2020111
Release:  Guns & Gangs/TSU Recover Sawed-Off Shotgun - 10 Block Borden Pl.,October 30,2019,9:54 AM,/news/2019794
Release:  Gunshot Wound - 10 Block Of 20th St. W,February 28,2018,9:28 AM,/news/2018123
Release:  Halloween Safety Tips,October 31,2018,2:47 PM,/news/2018797
Release:  Hammer Wielding Man Arrested After Damaging Property,September 25,2018,3:56 AM,/news/2018719
Release:  Hell's Angels Gathering,September 20,2018,3:47 PM,/news/2018709
Release:  High Risk Traffic Stop - Circle Drive North And Avenue C,July 13,2020,8:45 AM,/news/2020477
Release:  High Risk Vehicle Stop,September 17,2018,9:13 PM,/news/2018701
Release:  Hit / Run Collision - Spadina Crescent East At Ravine Drive,July 29,2021,4:44 PM,/news/2021409
Release:  Hit & Run/Evade Police - Preston Ave. & 8th St. E,April 7,2020,10:25 AM,/news/2020225
Release:  Hit & Run/Injured Child - Ave. T N & Rusholme Rd.,October 30,2018,2:48 PM,/news/2018791
Release:  Hit And Run,May 11,2021,12:28 AM,/news/2021258
Release:  Hit And Run - 1800 Block Avenue D North,September 16,2019,11:56 AM,/news/2019661
Release:  Hit And Run - Damage To Multiple Vehicles - 51st And Faithfull Ave.,July 12,2019,9:44 AM,/news/2019490
Release:  Hit And Run Accident,May 20,2021,1:16 AM,/news/2021276
Release:  Hit And Run- 22nd St/Ave P,December 10,2019,1:05 AM,/news/2019926
Release:  Hit And Run/Evade Police - 8th St. E & Cumberland Ave.,February 18,2020,12:53 PM,/news/2020106
Release:  Home Invasion - 1400 Block Cairns Avenue,February 25,2018,4:04 AM,/news/2018117
Release:  Home Invasion - 1400blk 22nd St W,September 30,2020,11:39 PM,/news/2020711
Release:  Home Invasion - 3100 Block 33rd St. W.,February 14,2020,9:05 PM,/news/202099
Release:  Home Invasion - 3600 Block Of Diefenbaker Drive,February 5,2018,9:24 PM,/news/201872
Release:  Home Invasion - 800 Block Kingsmere Blvd.,August 29,2018,4:15 PM,/news/2018659
Release:  Home Invasion-400blk Queen St,March 15,2020,3:14 AM,/news/2020171
Release:  Home Invasion/Shooting 300 Block Marlatte Street,January 19,2020,2:40 AM,/news/202034
Release:  Home Invasion/Shooting/Methamphetamine Seized - 200 Block Waterloo Crescent,December 30,2019,9:21 AM,/news/2019980
Release:  Homicide - 200 Block Ave. D N,March 24,2021,3:05 PM,/news/2021160
Release:  Homicide - 200 Block Avenue W South,September 10,2020,4:03 PM,/news/2020641
Release:  Homicide - 28 Year Old Female - Police Asking Public's Assistance To Locate A Vehicle,March 5,2020,6:39 AM,/news/2020144
Release:  Homicide - Clarence Avenue & Eighth Street East,October 4,2020,5:04 PM,/news/2020719
Release:  Homicide - Kootenay Drive,January 29,2019,2:43 PM,/news/201962
Release:  Homicide – 300 Block Avenue U South,July 29,2020,12:43 PM,/news/2020519
Release:  Homicide In The 200 Block 5th Avenue North,August 11,2018,3:05 AM,/news/2018616
Release:  Homicide In The 200 Block Avenue V South,August 11,2018,4:05 PM,/news/2018617
Release:  Homicide Investigation,August 1,2020,11:18 AM,/news/2020526
Release:  Homicide Investigation,August 25,2019,8:31 PM,/news/2019613
Release:  Homicide Investigation,July 11,2020,10:27 AM,/news/2020473
Release:  Homicide Investigation,July 6,2019,11:43 AM,/news/2019477
Release:  Homicide Investigation - 1400 Block 20th St W,March 6,2021,1:06 PM,/news/2021131
Release:  Homicide Investigation - 200 Block Wakaw Place,January 6,2021,5:16 AM,/news/20219
Release:  Homicide Investigation - 400 Block Avenue G South,September 16,2020,2:28 PM,/news/2020663
Release:  Homicide Investigation - 700 Block Of 33rd Street West,February 19,2021,3:26 PM,/news/2021104
Release:  Hostage Situation-Male Charged,December 28,2019,11:04 PM,/news/2019979
Release:  Hostage Taking Report Turns Out To Be Hoax,October 8,2018,10:30 AM,/news/2018742
Release:  House Fire - 10 Block Verbeke Court,September 9,2019,1:58 AM,/news/2019637
Release:  House Fire - 100 Block Of Saguenay Drive,March 31,2019,8:22 PM,/news/2019230
Release:  House Fire - 100 Saguenay Dr - Traffic Restrictions,March 31,2019,3:59 PM,/news/2019229
Release:  House Fire - 1700 Av C N,January 14,2020,8:31 PM,/news/202028
Release:  House Fire - 1800 Block Av C N - Traffic Restrictions,February 15,2020,8:35 PM,/news/2020100
Release:  House Fire - 1800 Block Ave. D N,October 8,2019,8:51 AM,/news/2019715
Release:  House Fire - 200 Av N S,February 2,2021,8:44 PM,/news/202171
Release:  House Fire - 300 Blocck Of Ave P South,April 11,2020,12:20 AM,/news/2020237
Release:  House Fire - 300 Block Av S S,March 28,2021,10:29 AM,/news/2021172
Release:  House Fire - 300 Block Av S S,March 28,2021,5:22 AM,/news/2021171
Release:  House Fire - 700 Ledingham Pl,December 6,2019,11:57 PM,/news/2019912
Release:  House Fire 500 Blk Albert Avenue,August 7,2020,3:07 AM,/news/2020543
Release:  House Fire- Traffic Restrictions- 2200blk Clarence Ave,June 19,2021,5:31 AM,/news/2021341
Release:  House Fire/Arson Investigation - 400 Block Ave. I S,February 7,2018,12:26 PM,/news/201878
Release:  Human Remains Found In House Fire - 1400 Block 21st St. W,October 16,2018,9:26 AM,/news/2018761
Release:  ICRT Cocaine Trafficking Investigation - 300 Block 8th St. E & 400 Block Berini Dr.,September 1,2020,9:27 AM,/news/2020614
Release:  Identity Theft/Fraud - 100 Block Gateway Blvd.,June 10,2019,2:57 PM,/news/2019408
Release:  Impaired By Drug Charge Laid - 21 Year Old Man In Custody,April 23,2018,3:55 PM,/news/2018279
Release:  Impaired Driver - Ave. P S & Shuyler St.,May 22,2018,4:45 PM,/news/2018375
Release:  Impaired Driver - Diefenbaker Park,May 5,2018,1:56 AM,/news/2018326
Release:  Impaired Driver Causes Damage To 7 Vehicles - 300 Block Forrester Road,May 27,2019,3:30 AM,/news/2019358
Release:  Impaired Driver Investigation Leads To CEW Deployment,October 19,2019,2:25 AM,/news/2019749
Release:  Impaired Driving - Avenue C And Circle Drive West,November 6,2020,4:42 PM,/news/2020804
Release:  Impaired Driving - Ruth St. & Victoria Ave./Diefenbaker Dr. & Douglas Cr.,April 14,2020,5:10 PM,/news/2020247
Release:  Impaired Driving - Sawed-Off Shotgun Recovered,June 24,2020,3:50 PM,/news/2020426
Release:  Impaired Driving - Vehicle / Structure Collision - 1300 Block Latrace Road,August 18,2021,9:18 AM,/news/2021437
Release:  Impaired Driving / Speeding - Idylwyld Drive And 20th Street West,April 11,2019,1:43 PM,/news/2019263
Release:  Impaired Driving Campaign - #DontWreckTheHolidays,December 18,2018,10:09 AM,/news/2018902
Release:  Impaired Driving Causes Collision Assiniboine And Saguenay Drive,September 2,2018,8:45 AM,/news/2018671
Release:  Impaired Driving Causing Bodily Harm - 1500 Block Ave. P South,April 18,2020,3:47 PM,/news/2020255
Release:  Impaired Driving Investigation - 3300 Block 14th St. East,July 26,2019,4:22 AM,/news/2019516
Release:  Impaired Driving/Drug Charges - 22nd St. E & 5th Ave. N,June 23,2021,9:50 AM,/news/2021355
Release:  Impaired Driving/Evade Police - 22nd St. W & Witney Ave.,February 12,2021,9:20 AM,/news/202196
Release:  Impaired Driving/Evade Police - 300 Block Ave. D N,July 22,2020,9:33 AM,/news/2020512
Release:  Impaired Driving/Evade Police - 3400 Block Fairlight Dr.,December 9,2019,4:52 PM,/news/2019922
Release:  Impaired Driving/Evade Police - Warman Rd. & Circle Dr.,September 9,2020,10:29 AM,/news/2020637
Release:  Impaired Driving/Hit And Run - 24th Street East And Wall Street,July 30,2018,9:03 AM,/news/2018571
Release:  Impaired Driving/Stolen Vehicle/Meth - 500 Block Ave. J N,November 12,2019,4:13 PM,/news/2019843
Release:  Impaired Motor Vehicle Accident,September 3,2018,5:51 AM,/news/2018675
"Release:  Impaired/Dangerous Driving, Hit And Run",July 18,2021,4:07 PM,/news/2021395
Release:  Incident In Detention Highlights Value Of Having Paramedics On Duty 24/7,February 8,2018,3:34 PM,/news/201883
Release:  Incident Near School - 100 Block Nelson Road,September 27,2018,1:36 PM,/news/2018725
Release:  Increased Bicycle Enforcement,May 28,2018,3:25 PM,/news/2018403
Release:  Increased Police Presence At Saskatoon Mosques,March 15,2019,11:05 AM,/news/2019191
Release:  Indecent Exposure - 400 Block 20th Street East,March 1,2019,9:05 AM,/news/2019158
Release:  Indecent Exposure - CEW Deployment,August 5,2019,1:59 AM,/news/2019542
Release:  Industrial Accident/Fatality - 100 Block Apex St.,July 31,2018,10:39 AM,/news/2018578
Release:  Industrial Accident/Fatality - 800 Block 45th Street East,November 5,2018,10:32 PM,/news/2018807
Release:  Injured Male - 1000 Block Idylwyld Drive North,April 5,2018,8:35 AM,/news/2018218
Release:  Injured Male - 1700 Block 20th Street West,April 22,2020,1:06 PM,/news/2020260
Release:  Injured Male - 1700 Block Of 20th St West,November 30,2018,9:40 AM,/news/2018861
Release:  Injured Male - 1800 Block 22nd Street West,February 3,2020,11:48 AM,/news/202070
"Release:  Injured Male - 400 Block Ave E , S",February 22,2020,10:02 AM,/news/2020119
Release:  Injured Male - 500 Block Hampton Circle,March 15,2018,3:12 PM,/news/2018160
Release:  Injured Male - Avenue H North And 33rd Street West,July 30,2018,9:49 AM,/news/2018572
Release:  Injured Male - Deceased - Under Investigation,August 18,2019,4:24 PM,/news/2019585
Release:  Injured Male - Kolynchuk Crescent,September 10,2018,11:13 AM,/news/2018692
Release:  Injured Male - Under Investigation,June 30,2019,8:02 AM,/news/2019458
Release:  Injured Male Identified - Update,February 16,2020,2:24 PM,/news/2020102
Release:  Injured Male- 1700blk 20th St W,September 22,2019,12:41 AM,/news/2019676
Release:  Injured Man - 1300 Block 22nd Street West,July 16,2018,4:17 PM,/news/2018543
Release:  Injured Person,August 18,2019,11:08 AM,/news/2019583
Release:  Injured Person - 10 Block Of Worobetz Pl.,June 28,2018,4:44 PM,/news/2018495
Release:  Injured Person - 100 Block 2nd Ave. S,December 10,2020,3:34 PM,/news/2020868
Release:  Injured Person - 100 Block Ave U.S,February 14,2021,2:05 PM,/news/202198
Release:  Injured Person - 100 Block Ave. R N,February 11,2021,10:30 AM,/news/202195
Release:  Injured Person - 100 Block Blakeney Cr.,July 3,2021,12:57 AM,/news/2021372
Release:  Injured Person - 1200 Block Idylwyld Drive North,September 2,2021,1:56 PM,/news/2021467
Release:  Injured Person - 1400 Block 20th St W,July 6,2018,6:55 PM,/news/2018522
Release:  Injured Person - 1400 Block 20th St W,June 29,2018,12:56 AM,/news/2018497
Release:  Injured Person - 1500 Block 8th St. E,January 20,2021,10:54 AM,/news/202142
Release:  Injured Person - 1500 Block Rayner Ave.,August 1,2018,9:45 AM,/news/2018582
Release:  Injured Person - 1700 Block 20th St. W,March 19,2019,11:39 AM,/news/2019203
Release:  Injured Person - 20 St & Av S,July 3,2021,7:57 PM,/news/2021374
Release:  Injured Person - 200 Block 21st St. E,January 8,2020,12:14 PM,/news/202016
Release:  Injured Person - 200 Block Ave. V S,May 30,2019,8:55 AM,/news/2019368
Release:  Injured Person - 200 Block Grant St.,May 10,2021,1:46 PM,/news/2021256
Release:  Injured Person - 200 Block Witney Av N,May 31,2021,5:48 AM,/news/2021295
Release:  Injured Person - 300 Block Avenue I North,August 30,2018,2:19 PM,/news/2018662
Release:  Injured Person - 300 Block Avenue T South,July 5,2019,2:25 PM,/news/2019474
Release:  Injured Person - 300 Block Of 5th Ave North,September 21,2019,3:36 PM,/news/2019672
Release:  Injured Person - 400 Block 4th Avenue North,February 6,2020,10:08 AM,/news/202079
Release:  Injured Person - Deceased,June 6,2020,7:37 AM,/news/2020382
